"","year","county","use_type","use_acre_ft"
"134",1984,"BRISCOE","livestock",271
"135",1984,"BRISCOE","manufacturing",2
"136",1984,"BRISCOE","mining",0
"137",1984,"BRISCOE","municipal",174
"138",1984,"BRISCOE","steam_electric_power",0
"139",1984,"BROOKS","irrigation",135
"140",1984,"BROOKS","livestock",74
"141",1984,"BROOKS","manufacturing",0
"142",1984,"BROOKS","mining",158
"143",1984,"BROOKS","municipal",1535
"144",1984,"BROOKS","steam_electric_power",0
"145",1984,"BROWN","irrigation",1245
"146",1984,"BROWN","livestock",110
"147",1984,"BROWN","manufacturing",13
"148",1984,"BROWN","mining",60
"149",1984,"BROWN","municipal",71
"150",1984,"BROWN","steam_electric_power",0
"151",1984,"BURLESON","irrigation",7462
"152",1984,"BURLESON","livestock",443
"153",1984,"BURLESON","manufacturing",105
"154",1984,"BURLESON","mining",14
"155",1984,"BURLESON","municipal",1954
"156",1984,"BURLESON","steam_electric_power",0
"157",1984,"BURNET","irrigation",291
"158",1984,"BURNET","livestock",435
"159",1984,"BURNET","manufacturing",1
"160",1984,"BURNET","mining",116
"161",1984,"BURNET","municipal",1806
"162",1984,"BURNET","steam_electric_power",0
"163",1984,"CALDWELL","irrigation",205
"164",1984,"CALDWELL","livestock",82
"165",1984,"CALDWELL","manufacturing",0
"166",1984,"CALDWELL","mining",3
"167",1984,"CALDWELL","municipal",2466
"168",1984,"CALDWELL","steam_electric_power",0
"169",1984,"CALHOUN","irrigation",3246
"170",1984,"CALHOUN","livestock",292
"171",1984,"CALHOUN","manufacturing",0
"172",1984,"CALHOUN","mining",0
"173",1984,"CALHOUN","municipal",688
"174",1984,"CALHOUN","steam_electric_power",0
"175",1984,"CALLAHAN","irrigation",364
"176",1984,"CALLAHAN","livestock",77
"177",1984,"CALLAHAN","manufacturing",9
"178",1984,"CALLAHAN","mining",221
"179",1984,"CALLAHAN","municipal",880
"180",1984,"CALLAHAN","steam_electric_power",0
"181",1984,"CAMERON","irrigation",188
"182",1984,"CAMERON","livestock",109
"183",1984,"CAMERON","manufacturing",0
"184",1984,"CAMERON","mining",0
"185",1984,"CAMERON","municipal",1516
"186",1984,"CAMERON","steam_electric_power",0
"187",1984,"CAMP","irrigation",145
"188",1984,"CAMP","livestock",229
"189",1984,"CAMP","manufacturing",198
"190",1984,"CAMP","mining",82
"191",1984,"CAMP","municipal",1747
"192",1984,"CAMP","steam_electric_power",0
"193",1984,"CARSON","irrigation",105923
"194",1984,"CARSON","livestock",904
"195",1984,"CARSON","manufacturing",6122
"196",1984,"CARSON","mining",895
"197",1984,"CARSON","municipal",2406
"198",1984,"CARSON","steam_electric_power",0
"199",1984,"CASS","irrigation",0
"200",1984,"CASS","livestock",350
"201",1984,"CASS","manufacturing",11
"202",1984,"CASS","mining",567
"203",1984,"CASS","municipal",3741
"204",1984,"CASS","steam_electric_power",3
"205",1984,"CASTRO","irrigation",321357
"206",1984,"CASTRO","livestock",3895
"207",1984,"CASTRO","manufacturing",441
"208",1984,"CASTRO","mining",0
"209",1984,"CASTRO","municipal",3031
"210",1984,"CASTRO","steam_electric_power",0
"211",1984,"CHAMBERS","irrigation",213
"212",1984,"CHAMBERS","livestock",246
"213",1984,"CHAMBERS","manufacturing",10
"214",1984,"CHAMBERS","mining",118
"215",1984,"CHAMBERS","municipal",2814
"216",1984,"CHAMBERS","steam_electric_power",95
"217",1984,"CHEROKEE","irrigation",117
"218",1984,"CHEROKEE","livestock",585
"219",1984,"CHEROKEE","manufacturing",0
"220",1984,"CHEROKEE","mining",117
"221",1984,"CHEROKEE","municipal",4843
"222",1984,"CHEROKEE","steam_electric_power",408
"223",1984,"CHILDRESS","irrigation",10002
"224",1984,"CHILDRESS","livestock",47
"225",1984,"CHILDRESS","manufacturing",4
"226",1984,"CHILDRESS","mining",0
"227",1984,"CHILDRESS","municipal",5
"228",1984,"CHILDRESS","steam_electric_power",0
"229",1984,"CLAY","irrigation",226
"230",1984,"CLAY","livestock",175
"231",1984,"CLAY","manufacturing",0
"232",1984,"CLAY","mining",299
"233",1984,"CLAY","municipal",585
"234",1984,"CLAY","steam_electric_power",0
"235",1984,"COCHRAN","irrigation",73917
"236",1984,"COCHRAN","livestock",728
"237",1984,"COCHRAN","manufacturing",112
"238",1984,"COCHRAN","mining",1175
"239",1984,"COCHRAN","municipal",897
"240",1984,"COCHRAN","steam_electric_power",0
"241",1984,"COKE","irrigation",512
"242",1984,"COKE","livestock",42
"243",1984,"COKE","manufacturing",0
"244",1984,"COKE","mining",391
"245",1984,"COKE","municipal",47
"246",1984,"COKE","steam_electric_power",0
"247",1984,"COLEMAN","irrigation",0
"248",1984,"COLEMAN","livestock",104
"249",1984,"COLEMAN","manufacturing",0
"250",1984,"COLEMAN","mining",161
"251",1984,"COLEMAN","municipal",111
"252",1984,"COLEMAN","steam_electric_power",0
"253",1984,"COLLIN","irrigation",0
"254",1984,"COLLIN","livestock",134
"255",1984,"COLLIN","manufacturing",0
"256",1984,"COLLIN","mining",0
"257",1984,"COLLIN","municipal",1601
"258",1984,"COLLIN","steam_electric_power",457
"259",1984,"COLLINGSWORTH","irrigation",5839
"260",1984,"COLLINGSWORTH","livestock",76
"261",1984,"COLLINGSWORTH","manufacturing",0
"262",1984,"COLLINGSWORTH","mining",0
"263",1984,"COLLINGSWORTH","municipal",1035
"264",1984,"COLLINGSWORTH","steam_electric_power",0
"265",1984,"COLORADO","irrigation",38194
"266",1984,"COLORADO","livestock",896
"267",1984,"COLORADO","manufacturing",2
"268",1984,"COLORADO","mining",1069
"269",1984,"COLORADO","municipal",2874
"270",1984,"COLORADO","steam_electric_power",0
"271",1984,"COMAL","irrigation",199
"272",1984,"COMAL","livestock",276
"273",1984,"COMAL","manufacturing",527
"274",1984,"COMAL","mining",889
"275",1984,"COMAL","municipal",10732
"276",1984,"COMAL","steam_electric_power",0
"277",1984,"COMANCHE","irrigation",22583
"278",1984,"COMANCHE","livestock",386
"279",1984,"COMANCHE","manufacturing",24
"280",1984,"COMANCHE","mining",79
"281",1984,"COMANCHE","municipal",812
"282",1984,"COMANCHE","steam_electric_power",0
"283",1984,"CONCHO","irrigation",3646
"284",1984,"CONCHO","livestock",922
"285",1984,"CONCHO","manufacturing",0
"286",1984,"CONCHO","mining",0
"287",1984,"CONCHO","municipal",300
"288",1984,"CONCHO","steam_electric_power",0
"289",1984,"COOKE","irrigation",365
"290",1984,"COOKE","livestock",949
"291",1984,"COOKE","manufacturing",4
"292",1984,"COOKE","mining",243
"293",1984,"COOKE","municipal",4609
"294",1984,"COOKE","steam_electric_power",0
"295",1984,"CORYELL","irrigation",13
"296",1984,"CORYELL","livestock",610
"297",1984,"CORYELL","manufacturing",0
"298",1984,"CORYELL","mining",96
"299",1984,"CORYELL","municipal",2731
"300",1984,"CORYELL","steam_electric_power",0
"301",1984,"COTTLE","irrigation",1893
"302",1984,"COTTLE","livestock",40
"303",1984,"COTTLE","manufacturing",3
"304",1984,"COTTLE","mining",0
"305",1984,"COTTLE","municipal",484
"306",1984,"COTTLE","steam_electric_power",0
"307",1984,"CRANE","irrigation",90
"308",1984,"CRANE","livestock",132
"309",1984,"CRANE","manufacturing",0
"310",1984,"CRANE","mining",3721
"311",1984,"CRANE","municipal",1237
"312",1984,"CRANE","steam_electric_power",0
"313",1984,"CROCKETT","irrigation",338
"314",1984,"CROCKETT","livestock",682
"315",1984,"CROCKETT","manufacturing",12
"316",1984,"CROCKETT","mining",609
"317",1984,"CROCKETT","municipal",1744
"318",1984,"CROCKETT","steam_electric_power",0
"319",1984,"CROSBY","irrigation",118378
"320",1984,"CROSBY","livestock",307
"321",1984,"CROSBY","manufacturing",0
"322",1984,"CROSBY","mining",24
"323",1984,"CROSBY","municipal",667
"324",1984,"CROSBY","steam_electric_power",0
"325",1984,"CULBERSON","irrigation",20051
"326",1984,"CULBERSON","livestock",296
"327",1984,"CULBERSON","manufacturing",1
"328",1984,"CULBERSON","mining",2654
"329",1984,"CULBERSON","municipal",793
"330",1984,"CULBERSON","steam_electric_power",0
"331",1984,"DALLAM","irrigation",571502
"332",1984,"DALLAM","livestock",3672
"333",1984,"DALLAM","manufacturing",122
"334",1984,"DALLAM","mining",0
"335",1984,"DALLAM","municipal",2043
"336",1984,"DALLAM","steam_electric_power",0
"337",1984,"DALLAS","irrigation",60
"338",1984,"DALLAS","livestock",44
"339",1984,"DALLAS","manufacturing",1354
"340",1984,"DALLAS","mining",94
"341",1984,"DALLAS","municipal",16581
"342",1984,"DALLAS","steam_electric_power",1112
"343",1984,"DAWSON","irrigation",21361
"344",1984,"DAWSON","livestock",98
"345",1984,"DAWSON","manufacturing",0
"346",1984,"DAWSON","mining",860
"347",1984,"DAWSON","municipal",752
"348",1984,"DAWSON","steam_electric_power",0
"349",1984,"DEAF SMITH","irrigation",595784
"350",1984,"DEAF SMITH","livestock",19904
"351",1984,"DEAF SMITH","manufacturing",3262
"352",1984,"DEAF SMITH","mining",0
"353",1984,"DEAF SMITH","municipal",5447
"354",1984,"DEAF SMITH","steam_electric_power",0
"355",1984,"DELTA","irrigation",0
"356",1984,"DELTA","livestock",80
"357",1984,"DELTA","manufacturing",0
"358",1984,"DELTA","mining",0
"359",1984,"DELTA","municipal",138
"360",1984,"DELTA","steam_electric_power",0
"361",1984,"DENTON","irrigation",502
"362",1984,"DENTON","livestock",726
"363",1984,"DENTON","manufacturing",52
"364",1984,"DENTON","mining",37
"365",1984,"DENTON","municipal",9219
"366",1984,"DENTON","steam_electric_power",0
"367",1984,"DEWITT","irrigation",128
"368",1984,"DEWITT","livestock",188
"369",1984,"DEWITT","manufacturing",6
"370",1984,"DEWITT","mining",105
"371",1984,"DEWITT","municipal",3682
"372",1984,"DEWITT","steam_electric_power",0
"373",1984,"DICKENS","irrigation",5174
"374",1984,"DICKENS","livestock",50
"375",1984,"DICKENS","manufacturing",7
"376",1984,"DICKENS","mining",9
"377",1984,"DICKENS","municipal",303
"378",1984,"DICKENS","steam_electric_power",0
"379",1984,"DIMMIT","irrigation",17679
"380",1984,"DIMMIT","livestock",757
"381",1984,"DIMMIT","manufacturing",10
"382",1984,"DIMMIT","mining",432
"383",1984,"DIMMIT","municipal",2307
"384",1984,"DIMMIT","steam_electric_power",0
