"","county","gallons_from_groundwater","year"
"200","Ionia",3154857540,2016
"201","Iosco",152392418,2016
"202","Iron",455856800,2016
"203","Isabella",3632507105,2016
"204","Jackson",7234667158,2016
"205","Kalamazoo",22893158893,2016
"206","Kalkaska",2212832905,2016
"207","Kent",6121647814,2016
"208","Keweenaw",17659767,2016
"209","Lake",86609630,2016
"210","Lapeer",280600425,2016
"211","Leelanau",1172708027,2016
"212","Lenawee",1996393659,2016
"213","Livingston",3432882887,2016
"214","Luce",642515509,2016
"215","Mackinac",70082480,2016
"216","Macomb",473280075,2016
"217","Manistee",1561497653,2016
"218","Marquette",1424322382,2016
"219","Mason",1642387432,2016
"220","Mecosta",4902308233,2016
"221","Menominee",57462549,2016
"222","Midland",187623265,2016
"223","Missaukee",2141829852,2016
"224","Monroe",10458581812,2016
"225","Montcalm",16065879190,2016
"226","Montmorency",95003350,2016
"227","Muskegon",2537831166,2016
"228","Newaygo",2713852689,2016
"229","Oakland",12982580344,2016
"230","Oceana",2519315301,2016
"231","Ogemaw",219794638,2016
"232","Ontonagon",12972180,2016
"233","Osceola",1143174395,2016
"234","Oscoda",78232625,2016
"235","Otsego",1137803795,2016
"236","Ottawa",2302241798,2016
"237","Presque Isle",431808213,2016
"238","Roscommon",141064508,2016
"239","Saginaw",912741503,2016
"240","Saint Clair",196237222,2016
"241","Saint Joseph",23518815648,2016
"242","Sanilac",1102454060,2016
"243","Schoolcraft",694280525,2016
"244","Shiawassee",1193067276,2016
"245","Tuscola",1364294518,2016
"246","Van Buren",7666719343,2016
"247","Washtenaw",4249641826,2016
"248","Wayne",846778139,2016
"249","Wexford",2208513345,2016
"250","Alcona",331378720,2015
"251","Alger",1054885386,2015
"252","Allegan",5226001214,2015
"253","Alpena",19353585,2015
"254","Antrim",3786917830,2015
"255","Arenac",36526647,2015
"256","Baraga",146633130,2015
"257","Barry",1588703694,2015
"258","Bay",80315670,2015
"259","Benzie",856739396,2015
"260","Berrien",4430755762,2015
"261","Branch",7195546928,2015
"262","Calhoun",6201264290,2015
"263","Cass",15111571645,2015
"264","Charlevoix",1280717926,2015
"265","Cheboygan",447741030,2015
"266","Chippewa",446083958,2015
"267","Clare",728153360,2015
"268","Clinton",1020770193,2015
"269","Crawford",427705810,2015
"270","Delta",67838648,2015
"271","Dickinson",887371437,2015
"272","Eaton",1013343648,2015
"273","Emmet",3608899537,2015
"274","Genesee",1698944130,2015
"275","Gladwin",223926061,2015
"276","Gogebic",756164061,2015
"277","Grand Traverse",1255361865,2015
"278","Gratiot",3497503946,2015
"279","Hillsdale",2498796853,2015
"280","Houghton",1420999081,2015
"281","Huron",384471424,2015
"282","Ingham",9738519412,2015
"283","Ionia",2409505549,2015
"284","Iosco",124425894,2015
"285","Iron",481370000,2015
"286","Isabella",3981967155,2015
"287","Jackson",13688489354,2015
"288","Kalamazoo",13857934451,2015
"289","Kalkaska",1842026823,2015
"290","Kent",5043199164,2015
"291","Keweenaw",18139652,2015
"292","Lake",163886130,2015
"293","Lapeer",351240581,2015
"294","Leelanau",1093850847,2015
"295","Lenawee",2035267203,2015
"296","Livingston",2801901181,2015
"297","Luce",624536501,2015
"298","Mackinac",79492708,2015
"299","Macomb",721735185,2015
"300","Manistee",1144405680,2015
"301","Marquette",1291191497,2015
"302","Mason",1437770691,2015
"303","Mecosta",4179566853,2015
