"","year","location","withdrawal_volume_af","use_type"
"150",2000,"East Side",7672,"urban"
"151",2000,"Forebay",7423,"urban"
"152",2000,"Upper Valley",4034,"urban"
"153",1999,"Pressure",97910,"agricultural"
"154",1999,"East Side",79562,"agricultural"
"155",1999,"Forebay",136169,"agricultural"
"156",1999,"Upper Valley",150367,"agricultural"
"157",1999,"Pressure",20963,"urban"
"158",1999,"East Side",8955,"urban"
"159",1999,"Forebay",6359,"urban"
"160",1999,"Upper Valley",4282,"urban"
"161",1998,"Pressure",85184,"agricultural"
"162",1998,"East Side",74148,"agricultural"
"163",1998,"Forebay",117812,"agricultural"
"164",1998,"Upper Valley",122377,"agricultural"
"165",1998,"Pressure",19732,"urban"
"166",1998,"East Side",12213,"urban"
"167",1998,"Forebay",5855,"urban"
"168",1998,"Upper Valley",3727,"urban"
"169",1997,"Pressure",123812,"agricultural"
"170",1997,"East Side",105824,"agricultural"
"171",1997,"Forebay",155548,"agricultural"
"172",1997,"Upper Valley",166716,"agricultural"
"173",1997,"Pressure",22176,"urban"
"174",1997,"East Side",14343,"urban"
"175",1997,"Forebay",5470,"urban"
"176",1997,"Upper Valley",4249,"urban"
"177",1996,"Pressure",120633,"agricultural"
"178",1996,"East Side",92723,"agricultural"
"179",1996,"Forebay",150912,"agricultural"
"180",1996,"Upper Valley",156536,"agricultural"
"181",1996,"Pressure",20810,"urban"
"182",1996,"East Side",12991,"urban"
"183",1996,"Forebay",5083,"urban"
"184",1996,"Upper Valley",3750,"urban"
"185",1995,"Pressure",105741,"agricultural"
"186",1995,"East Side",84589,"agricultural"
"187",1995,"Forebay",133226,"agricultural"
"188",1995,"Upper Valley",139072,"agricultural"
"189",1995,"Pressure",30738,"urban"
"190",1995,"East Side",2907,"urban"
"191",1995,"Forebay",3994,"urban"
"192",1995,"Upper Valley",4245,"urban"
