County,Gallons from Great Lakes,Gallons from Groundwater,Gallons from Inland Surface,Total Gallons All Sources,Year
Saint Joseph,0,"22,302,155,651","6,646,163,456","28,948,319,107",2013
Sanilac,"117,393,044","1,107,537,889","34,584,634","1,259,515,567",2013
Schoolcraft,"1,611,970,000","634,014,423","2,665,259,126","4,911,243,549",2013
Shiawassee,0,"1,049,497,440","82,579,300","1,132,076,740",2013
Tuscola,"4,973,952","1,670,085,987","1,735,658,262","3,410,718,201",2013
Van Buren,"42,311,912,000","11,175,322,719","1,030,109,158","54,517,343,877",2013
Washtenaw,0,"6,337,306,515","5,311,459,221","11,648,765,736",2013
Wayne,"517,783,919,184","647,065,659","114,056,952,728","632,487,937,571",2013
Wexford,0,"2,465,200,640",0,"2,465,200,640",2013
Alcona,0,"314,197,477","277,611,891","591,809,368",2012
Alger,"1,676,300,000","318,560,275",0,"1,994,860,275",2012
Allegan,0,"6,895,984,260","5,976,233,549","12,872,217,809",2012
Alpena,"41,702,488,000","21,094,409","2,728,498,300","44,452,080,709",2012
Antrim,0,"3,664,720,112","28,424,828","3,693,144,940",2012
Arenac,"15,628,493,514","56,665,648","81,941,000","15,767,100,162",2012
Baraga,"5,214,602,208",0,0,"5,214,602,208",2012
Barry,0,"1,892,873,692","891,686,621","2,784,560,313",2012
Bay,"190,739,159,613","69,582,268","1,563,561,725","192,372,303,606",2012
Benzie,0,"707,561,481","2,417,422,249","3,124,983,730",2012
Berrien,"809,017,961,000","8,034,308,501","2,253,862,522","819,306,132,023",2012
Branch,0,"10,180,349,127","5,520,070,375","15,700,419,502",2012
Calhoun,0,"10,447,664,477","2,688,184,070","13,135,848,547",2012
Cass,0,"16,671,955,152","1,727,368,482","18,399,323,634",2012
Charlevoix,"1,170,891,000","4,956,908,955","930,731,000","7,058,530,955",2012
Cheboygan,0,"415,772,830","15,701,777,838","16,117,550,668",2012
Chippewa,"1,033,007,600","449,795,776",0,"1,482,803,376",2012
Clare,0,"415,641,183","694,087,961","1,109,729,144",2012
Clinton,0,"1,596,394,459","455,756,015","2,052,150,474",2012
Crawford,0,"367,652,837","3,236,442,821","3,604,095,658",2012
Delta,"21,033,550,400","153,326,284","208,342,786","21,395,219,470",2012
Dickinson,0,"1,015,885,811","7,703,742,000","8,719,627,811",2012
Eaton,0,"1,419,300,216","616,151,364","2,035,451,580",2012
Emmet,"77,023,454","3,176,523,104","603,241,724","3,856,788,282",2012
Genesee,0,"3,332,270,063","134,831,737","3,467,101,800",2012
Gladwin,0,"193,890,501","13,284,000","207,174,501",2012
Gogebic,0,"583,954,058","82,000,000","665,954,058",2012
Grand Traverse,"2,019,000,000","1,255,687,613","37,852,300","3,312,539,913",2012
Gratiot,0,"4,873,534,964","732,459,249","5,605,994,213",2012
Hillsdale,0,"4,023,503,563","1,047,565,441","5,071,069,004",2012
Houghton,0,"1,192,065,354","16,966,000","1,209,031,354",2012
Huron,"11,529,581,120","552,348,381","693,909,918","12,775,839,419",2012
Ingham,0,"12,440,454,895","45,015,586,238","57,456,041,133",2012
Ionia,0,"2,722,090,216","552,924,372","3,275,014,588",2012
Iosco,"402,564,600","117,719,730","91,756,954","612,041,284",2012
Iron,0,"594,391,700","914,643,029","1,509,034,729",2012
Isabella,0,"2,545,524,115","1,058,926,627","3,604,450,742",2012
Jackson,0,"7,605,898,216","1,178,929,286","8,784,827,502",2012
Kalamazoo,0,"27,095,811,972","3,705,994,259","30,801,806,231",2012
Kalkaska,0,"1,917,471,306","551,666,478","2,469,137,784",2012
Kent,"28,302,490,000","5,878,700,546","973,813,064","35,155,003,610",2012
Keweenaw,"3,514,284","15,631,773",0,"19,146,057",2012
Lake,0,"127,637,610",0,"127,637,610",2012
Lapeer,0,"205,727,462","131,512,886","337,240,348",2012
Leelanau,"8,401,184","801,093,674","65,630,656","875,125,514",2012
Lenawee,0,"2,392,441,916","2,538,305,864","4,930,747,780",2012
Livingston,0,"3,388,193,956","895,886,042","4,284,079,998",2012
Luce,0,"450,197,769",0,"450,197,769",2012
Mackinac,"4,382,725,000","44,393,159","7,195,000","4,434,313,159",2012
Macomb,"1,157,299,000","679,351,132","857,876,100","2,694,526,232",2012
Manistee,0,"1,376,774,335","11,503,414,842","12,880,189,177",2012
Marquette,"75,542,110,000","1,376,170,642","11,927,509,537","88,845,790,179",2012
Mason,"686,320,000","1,059,909,964","6,633,127,928","8,379,357,892",2012
Mecosta,0,"4,794,406,269","584,513,269","5,378,919,538",2012
Menominee,"364,420,000","52,571,550","744,940,000","1,161,931,550",2012
Midland,0,"213,492,699","2,935,205,526","3,148,698,225",2012
Missaukee,0,"3,039,022,257","519,594,644","3,558,616,901",2012
Monroe,"656,838,738,748","10,024,411,387","1,952,868,567","668,816,018,702",2012
Montcalm,0,"20,594,311,235","6,476,115,767","27,070,427,002",2012
Montmorency,0,"68,795,514","79,961,800","148,757,314",2012
Muskegon,"3,346,694,000","3,145,876,666","85,866,501,780","92,359,072,446",2012
Newaygo,0,"2,690,983,855","435,191,349","3,126,175,204",2012
Oakland,0,"11,824,100,248","5,271,656,094","17,095,756,342",2012
Oceana,0,"3,001,772,670","445,291,725","3,447,064,395",2012
Ogemaw,0,"242,763,737","28,644,000","271,407,737",2012
Ontonagon,"598,340,000","31,928,100",0,"630,268,100",2012
Osceola,0,"1,527,089,583","181,807,447","1,708,897,030",2012
Oscoda,0,"81,321,553","80,300,000","161,621,553",2012
Otsego,0,"1,404,550,533",0,"1,404,550,533",2012
Ottawa,"260,467,152,621","5,318,928,455","25,823,273,606","291,609,354,682",2012
Presque Isle,"3,983,480,000","286,726,005","7,206,989,623","11,477,195,628",2012
Roscommon,0,"226,658,819","24,212,950","250,871,769",2012
Saginaw,0,"867,896,814","229,458,016","1,097,354,830",2012
Saint Clair,"503,887,187,966","170,319,036","92,702,063","504,150,209,065",2012
Saint Joseph,0,"31,230,097,909","10,391,930,232","41,622,028,141",2012
Sanilac,"116,232,192","1,610,948,724","24,299,812","1,751,480,728",2012
Schoolcraft,"1,338,724,000","640,482,659","2,497,983,000","4,477,189,659",2012
Shiawassee,0,"1,097,687,693","91,342,600","1,189,030,293",2012
Tuscola,0,"1,846,555,091","1,947,293,348","3,793,848,439",2012
Van Buren,"41,158,103,000","11,833,270,943","1,720,241,977","54,711,615,920",2012
Washtenaw,0,"5,744,243,357","5,935,308,498","11,679,551,855",2012
Wayne,"616,910,005,950","784,985,760","63,860,960,817","681,555,952,527",2012
Wexford,0,"3,063,044,465","3,162,240,000","6,225,284,465",2012
Alcona,0,"232,656,323","18,810,484","251,466,807",2011
Alger,"1,477,900,000","227,447,900",0,"1,705,347,900",2011
Allegan,0,"3,484,763,420","2,266,457,354","5,751,220,774",2011
Alpena,"41,675,228,833","20,145,661","2,013,533,312","43,708,907,806",2011
Antrim,0,"2,787,156,187","24,990,425","2,812,146,612",2011
Arenac,"14,926,461,900","28,298,535","22,078,734","14,976,839,169",2011
Baraga,"5,825,830,000",0,0,"5,825,830,000",2011
Barry,0,"1,208,577,880","265,801,940","1,474,379,820",2011
Bay,"3,081,258,100","29,578,616","192,110,721,139","195,221,557,855",2011
Benzie,0,"551,484,239","2,422,766,378","2,974,250,617",2011
Berrien,"828,813,890,000","4,590,103,124","797,068,919","834,201,062,043",2011
Branch,0,"4,339,840,665","2,659,915,976","6,999,756,641",2011
Calhoun,0,"7,073,604,804","1,137,747,403","8,211,352,207",2011
Cass,0,"7,275,827,479","659,510,520","7,935,337,999",2011
Charlevoix,"850,440,000","4,825,650,445","891,549,900","6,567,640,345",2011
Cheboygan,0,"426,129,624","1,302,906,938","1,729,036,562",2011
Chippewa,"850,290,000","428,359,800",0,"1,278,649,800",2011
Clare,0,"350,685,141","952,361,000","1,303,046,141",2011
Clinton,0,"810,403,222","602,178,293","1,412,581,515",2011
Crawford,0,"425,733,578","72,756,314","498,489,892",2011
Delta,"21,276,307,000","115,863,409","219,627,105","21,611,797,514",2011
Dickinson,0,"1,005,066,582","7,512,392,500","8,517,459,082",2011
Eaton,0,"1,148,768,788","415,498,706","1,564,267,494",2011
Emmet,"57,440,000","2,871,987,055","502,037,424","3,431,464,479",2011
Genesee,0,"1,624,192,828","145,883,711","1,770,076,539",2011
Gladwin,0,"193,872,498","296,000","194,168,498",2011
Gogebic,0,"582,444,100","26,000,000","608,444,100",2011
Grand Traverse,"1,779,880,000","998,357,977","43,554,527","2,821,792,504",2011
Gratiot,0,"1,816,612,878","903,900,582","2,720,513,460",2011
Hillsdale,0,"2,063,165,245","208,248,251","2,271,413,496",2011
Houghton,0,"1,160,832,166","16,362,000","1,177,194,166",2011
Huron,"18,821,506,072","468,763,561","246,872,150","19,537,141,783",2011
Ingham,0,"8,970,162,042","57,427,447,620","66,397,609,662",2011
Ionia,0,"1,823,788,761","151,829,821","1,975,618,582",2011
Iosco,"410,960,000","96,574,146","73,100,005","580,634,151",2011
Iron,0,"714,383,000","1,084,831,300","1,799,214,300",2011
Isabella,0,"1,554,228,043","761,763,630","2,315,991,673",2011
Jackson,0,"4,835,956,357","319,477,450","5,155,433,807",2011
Kalamazoo,0,"20,013,635,056","2,880,296,003","22,893,931,059",2011
Kalkaska,0,"909,372,042","285,408,370","1,194,780,412",2011
Kent,"24,420,971,000","4,285,640,000","918,662,730","29,625,273,730",2011
Keweenaw,"3,194,802","15,439,844",0,"18,634,646",2011
Lake,0,"109,599,190",0,"109,599,190",2011
Lapeer,0,"137,899,598","22,279,645","160,179,243",2011
Leelanau,"5,248,313","568,888,917","48,548,251","622,685,481",2011
Lenawee,0,"2,055,561,792","1,711,479,108","3,767,040,900",2011
Livingston,0,"3,104,464,106","828,937,100","3,933,401,206",2011
Luce,0,"312,312,789",0,"312,312,789",2011
Mackinac,"4,021,215,000","95,346,400","34,695,000","4,151,256,400",2011
Macomb,"1,126,347,187","493,430,505","553,614,855","2,173,392,547",2011
Manistee,0,"978,553,534","6,710,120,705","7,688,674,239",2011
Marquette,"73,962,780,000","1,341,428,431","12,509,688,115","87,813,896,546",2011
Mason,"651,685,000","464,270,659","7,365,366,626","8,481,322,285",2011
Mecosta,0,"2,625,445,897","353,975,508","2,979,421,405",2011
Menominee,"378,260,000","50,659,593","808,870,000","1,237,789,593",2011
Midland,0,"168,406,267","2,499,618,558","2,668,024,825",2011
Missaukee,0,"864,923,607","173,082,502","1,038,006,109",2011
Monroe,"665,697,851,000","9,791,517,004","588,805,530","676,078,173,534",2011
Montcalm,0,"9,342,475,748","5,963,822,502","15,306,298,249",2011
Montmorency,0,"47,891,261","52,072,600","99,963,861",2011
Muskegon,"4,693,163,000","2,636,426,069","74,822,036,568","82,151,625,637",2011
Newaygo,0,"1,524,819,295","475,263,733","2,000,083,028",2011
Oakland,0,"9,686,727,657","3,617,896,711","13,304,624,368",2011
Oceana,0,"1,685,042,650","195,361,507","1,880,404,157",2011
Ogemaw,0,"245,732,372","24,116,659","269,849,031",2011
Ontonagon,"518,220,000","33,188,000",0,"551,408,000",2011
Osceola,0,"1,332,689,136","64,629,400","1,397,318,536",2011
Oscoda,0,"33,545,802","77,200,000","110,745,802",2011
Otsego,0,"748,461,704",0,"748,461,704",2011
Ottawa,"249,568,880,000","2,082,097,687","35,623,987,489","287,274,965,176",2011
Presque Isle,"7,555,785,000","263,791,435","7,209,746,323","15,029,322,758",2011
Roscommon,0,"162,471,950","10,295,000","172,766,950",2011
Saginaw,0,"499,674,845","189,069,269","688,744,114",2011
Saint Clair,"528,257,529,197","178,480,342","42,393,313","528,478,402,852",2011
Saint Joseph,0,"13,228,692,764","4,164,273,753","17,392,966,517",2011
Sanilac,"103,051,642","1,375,845,842","128,704,718","1,607,602,202",2011
Schoolcraft,"1,811,796,000","634,817,519","2,291,590,679","4,738,204,198",2011
Shiawassee,0,"1,063,021,859","49,341,000","1,112,362,859",2011
Tuscola,0,"1,346,516,108","727,234,575","2,073,750,683",2011
Van Buren,"44,080,622,000","8,036,184,810","1,010,703,421","53,127,510,230",2011
Washtenaw,0,"3,488,246,845","5,014,656,963","8,502,903,808",2011
Wayne,"555,981,440,390","729,603,809","51,252,334,251","607,963,378,450",2011
Wexford,0,"2,695,245,403","399,727,205","3,094,972,608",2011
Alcona,0,"247,332,600","268,770,000","516,102,600",2010
Alger,"1,499,100,000","355,729,400",0,"1,854,829,400",2010
Allegan,0,"4,554,509,360","1,866,458,295","6,420,967,655",2010
Alpena,"41,595,850,000","30,923,550","1,611,668,800","43,238,442,350",2010
Antrim,0,"2,086,895,950","23,522,474","2,110,418,424",2010
Arenac,"14,988,281,300","21,321,500","56,888,200","15,066,491,000",2010
Baraga,"5,224,170,000","1,189,948",0,"5,225,359,948",2010
Barry,0,"988,704,748","220,279,494","1,208,984,242",2010
Bay,"3,109,495,300","11,937,000","218,735,266,481","221,856,698,781",2010
Benzie,0,"669,558,584","73,160","669,631,744",2010
Berrien,"729,838,605,000","4,208,636,927","1,158,670,297","735,205,912,224",2010
Branch,0,"3,399,444,713","2,048,290,318","5,447,735,031",2010
Calhoun,0,"7,376,911,134","958,095,326","8,335,006,460",2010
Cass,0,"6,242,422,933","1,055,733,782","7,298,156,715",2010
Charlevoix,"1,065,920,000","5,255,738,200","889,395,000","7,211,053,200",2010
Cheboygan,0,"425,332,100","1,267,131,800","1,692,463,900",2010
Chippewa,"861,500,000","412,760,898","26,022,000","1,300,282,898",2010
Clare,0,"467,641,923","797,464,500","1,265,106,423",2010
Clinton,0,"954,940,799","1,202,778,315","2,157,719,114",2010
Crawford,0,"403,307,900","43,080,000","446,387,900",2010
Delta,"23,685,000,000","99,621,000","123,716,000","23,908,337,000",2010
Dickinson,0,"1,027,264,744","7,411,711,000","8,438,975,744",2010
Eaton,0,"975,210,180","346,238,100","1,321,448,280",2010
Emmet,"72,400,000","1,508,052,102","1,780,000","1,582,232,102",2010
Genesee,0,"1,477,212,815","101,852,419","1,579,065,234",2010
Gladwin,0,"152,293,860","7,274,000","159,567,860",2010
Gogebic,0,"544,072,300","85,200,000","629,272,300",2010
Grand Traverse,"1,803,579,000","1,259,113,372","28,698,380","3,091,390,752",2010
Gratiot,0,"1,472,041,774","1,410,429,715","2,882,471,489",2010
Hillsdale,0,"1,986,034,153","331,904,969","2,317,939,122",2010
Houghton,0,"1,171,475,000","16,967,200","1,188,442,200",2010
Huron,"20,781,953,000","460,484,167","207,424,532","21,449,861,699",2010
Ingham,0,"12,346,292,511","65,526,864,206","77,873,156,717",2010
Ionia,0,"1,908,420,090","216,906,878","2,125,326,968",2010
Iosco,"411,538,000","92,489,228","90,060,000","594,087,228",2010
Iron,0,"407,415,800",0,"407,415,800",2010
Isabella,0,"1,686,077,794","922,824,576","2,608,902,370",2010
Jackson,0,"4,340,376,259","347,387,560","4,687,763,819",2010
Kalamazoo,0,"18,853,808,081","2,546,324,046","21,400,132,127",2010
Kalkaska,0,"525,713,507","271,438,079","797,151,586",2010
Kent,"23,328,914,000","4,326,636,097","664,598,078","28,320,148,175",2010
Keweenaw,"4,215,000","11,547,130",0,"15,762,130",2010
Lake,0,"121,098,300",0,"121,098,300",2010
Lapeer,0,"147,422,560","144,775,426","292,197,986",2010
Leelanau,"5,915,824","561,950,823","39,959,488","607,826,135",2010
Lenawee,0,"1,915,337,814","1,595,706,091","3,511,043,905",2010
Livingston,0,"2,918,394,076","681,727,000","3,600,121,076",2010
Luce,0,"344,054,093",0,"344,054,093",2010
Mackinac,"2,798,020,000","32,177,000","9,050,000","2,839,247,000",2010
Macomb,"1,242,709,000","533,422,084","798,950,879","2,575,081,963",2010
Manistee,0,"1,088,490,838","10,884,325,872","11,972,816,710",2010
Marquette,"72,984,000,000","885,941,304","8,524,100,000","20,506,041,304",2010
Mason,"710,264,000","488,601,540","6,486,243,999","7,685,109,539",2010
Mecosta,0,"2,567,371,984","239,695,454","2,807,067,438",2010
Menominee,"367,644,500","55,373,682","903,703,825","1,326,722,007",2010
Midland,0,"234,397,346","2,711,742,060","1,842,439,406",2010
Missaukee,0,"683,531,110","78,076,788","761,607,898",2010
Monroe,"658,818,412,000","9,708,775,602","562,354,974","669,089,542,576",2010
Montcalm,0,"9,249,912,468","5,327,923,578","14,577,836,046",2010
Montmorency,0,"11,793,026","53,124,000","64,917,026",2010
Muskegon,"4,916,375,000","2,561,350,464","89,125,326,260","11,157,051,724",2010
Newaygo,0,"1,712,468,346","534,648,744","2,247,117,090",2010
Oakland,0,"10,374,946,713","4,008,586,728","14,383,533,441",2010
Oceana,0,"1,152,123,520","109,842,297","1,261,965,817",2010
Ogemaw,0,"217,986,359","13,443,838","231,430,197",2010
Ontonagon,"168,330,000","32,130,800",0,"200,460,800",2010
Osceola,0,"1,046,031,210","19,940,000","1,065,971,210",2010
Oscoda,0,"95,385,588","75,500,000","170,885,588",2010
Otsego,0,"976,895,400",0,"976,895,400",2010
Ottawa,"274,161,556,000","2,094,577,033","31,013,357,639","307,269,490,671",2010
Presque Isle,"3,429,010,000","7,583,330,500","6,737,229,000","17,749,569,500",2010
Roscommon,0,"156,158,720",0,"156,158,720",2010
Saginaw,0,"479,001,070","214,439,297","693,440,367",2010
Saint Clair,"533,727,719,597","161,949,539","119,593,837","534,009,262,973",2010
Saint Joseph,0,"12,168,815,009","4,274,230,216","16,443,045,225",2010
Sanilac,"113,945,988","820,697,678","86,174,112","1,020,817,778",2010
Schoolcraft,"2,395,970,000","5,378,336,208","1,703,090,000","9,477,396,208",2010
Shiawassee,0,"901,976,680","115,199,880","1,017,176,560",2010
Tuscola,0,"1,193,941,237","714,436,598","1,908,377,835",2010
Van Buren,"51,500,444,000","6,331,667,972","1,552,502,794","59,384,614,765",2010
Washtenaw,0,"3,468,962,590","4,896,915,979","8,365,878,569",2010
Wayne,"604,705,441,100","641,049,332","56,564,102,500","525,670,592,932",2010
Wexford,0,"1,601,754,622","206,706,780","1,808,461,402",2010
Alcona,0,"267,609,617","526,131,000","793,740,617",2009
Alger,"1,600,600,000","347,556,700",0,"1,948,156,700",2009
Allegan,0,"5,961,655,750","4,911,988,651","10,873,644,401",2009
Alpena,"41,578,550,000","14,194,714","2,124,480,000","43,717,224,714",2009
Antrim,0,"4,232,997,800","21,314,000","4,254,311,800",2009
Arenac,"14,519,781,900","54,662,107","38,467,795","14,612,911,802",2009
Baraga,"304,980,000","1,191,625",0,"306,171,625",2009
Barry,0,"1,603,916,554","424,743,048","2,028,659,602",2009
Bay,"3,152,791,900","20,400,000","190,508,779,699","193,681,971,599",2009
Benzie,0,"784,451,331","146,320","784,597,651",2009
Berrien,"547,425,122,000","6,843,879,501","1,656,181,382","555,925,182,884",2009
Branch,0,"4,196,432,244","2,863,850,685","7,060,282,930",2009
Calhoun,0,"8,685,194,258","1,208,998,302","9,894,192,560",2009
Cass,0,"10,891,788,641","1,809,568,607","12,701,357,248",2009
Charlevoix,"1,093,352,000","5,130,243,500","872,906,000","7,096,501,500",2009
Cheboygan,0,"485,889,930","88,383,100,738","88,868,990,668",2009
Chippewa,"880,860,000","431,611,350","11,400,000","1,323,871,350",2009
Clare,0,"386,288,981","1,803,061,500","2,189,350,481",2009
Clinton,0,"1,448,282,033","1,331,213,442","2,779,495,475",2009
Crawford,0,"396,346,900","49,430,000","445,776,900",2009
Delta,"20,200,041,000","93,651,898","149,178,554","20,442,871,452",2009
Dickinson,0,"1,031,911,422","6,679,188,000","7,711,099,422",2009
Eaton,0,"1,145,062,519","425,869,906","1,570,932,425",2009
Emmet,"71,800,000","1,491,342,700","840,000","1,563,982,700",2009
Genesee,0,"1,778,896,043","127,244,770","1,906,140,813",2009
Gladwin,0,"159,551,728","8,000,000","167,551,728",2009
Gogebic,0,"573,152,700","54,000,000","627,152,700",2009
Grand Traverse,"1,754,290,000","868,236,419","31,097,690","2,653,624,109",2009
Gratiot,0,"2,627,771,256","1,104,214,078","3,731,985,334",2009
Hillsdale,0,"2,424,891,311","315,958,958","2,740,850,269",2009
Houghton,0,"1,270,584,275","19,898,600","1,290,482,875",2009
Huron,"19,565,739,000","968,463,942","337,669,164","20,871,872,106",2009
Ingham,0,"12,615,374,176","39,420,269,535","52,035,643,711",2009
Ionia,0,"2,010,814,552","112,639,836","2,123,454,388",2009
Iosco,"434,838,000","87,086,770","136,980,000","658,904,770",2009
Iron,0,"876,136,600","920,980,612","1,797,117,212",2009
Isabella,0,"2,203,540,818","1,045,092,476","3,248,633,294",2009
Jackson,0,"5,271,225,645","570,313,152","5,841,538,797",2009
Kalamazoo,0,"22,280,623,443","5,237,531,956","27,518,155,399",2009
Kalkaska,0,"741,525,358","58,979,141","800,504,499",2009
Kent,"22,266,722,000","4,995,707,744","870,578,398","28,133,008,142",2009
Keweenaw,"2,938,000","17,819,582",0,"20,757,582",2009
Lake,0,"118,910,804",0,"118,910,804",2009
Lapeer,0,"424,163,056","410,636,633","834,799,689",2009
Leelanau,"7,679,351","951,813,662","45,015,116","1,004,508,129",2009
Lenawee,0,"1,791,190,864","1,713,758,730","3,504,949,594",2009
Livingston,0,"2,968,116,893","629,918,000","3,598,034,893",2009
Luce,0,"483,729,640",0,"483,729,640",2009
Mackinac,"2,672,710,000","32,590,000","9,050,000","2,714,350,000",2009
Macomb,"1,178,750,000","515,564,580","618,588,404","2,312,902,984",2009
Manistee,0,"1,333,976,905","9,698,417,280","11,032,394,185",2009
Marquette,"79,492,580,000","980,080,440","8,080,303,500","88,552,963,940",2009
Mason,"700,750,000","646,303,212","202,014,436","1,549,067,648",2009
Mecosta,0,"3,733,568,886","486,662,577","4,220,231,464",2009
Menominee,"373,790,000","55,219,427","960,170,000","1,389,179,427",2009
Midland,0,"215,660,648","2,403,383,700","2,619,044,348",2009
Missaukee,0,"1,194,764,599","6,356,052","1,201,120,651",2009
Monroe,"655,220,992,000","8,565,697,106","1,032,382,528","664,819,071,634",2009
Montcalm,0,"14,922,514,161","7,540,710,602","22,463,224,763",2009
Montmorency,0,"40,310,520","51,476,000","91,786,520",2009
Muskegon,"3,532,171,000","2,779,449,626","76,972,118,098","83,283,738,724",2009
Newaygo,0,"1,798,373,616","653,805,353","2,452,178,969",2009
Oakland,0,"9,737,299,093","2,769,945,663","12,507,244,756",2009
Oceana,0,"1,864,911,639","445,364,424","2,310,276,062",2009
Ogemaw,0,"278,116,655","31,405,608","309,522,263",2009
Ontonagon,"1,634,470,000","33,432,400",0,"1,667,902,400",2009
Osceola,0,"1,011,253,287","117,164,000","1,128,417,287",2009
Oscoda,0,"98,076,330","78,700,000","176,776,330",2009
Otsego,0,"1,064,783,745",0,"1,064,783,745",2009
Ottawa,"246,657,122,000","3,856,766,994","31,368,591,020","281,882,480,014",2009
Presque Isle,"3,358,000,000","9,572,999,000","8,105,594,000","21,036,593,000",2009
Roscommon,0,"146,267,583",0,"146,267,583",2009
Saginaw,0,"834,486,937","202,895,980","1,037,382,917",2009
Saint Clair,"501,696,739,751","188,549,350","204,096,123","502,089,385,224",2009
Saint Joseph,0,"17,628,830,938","4,785,944,934","22,414,775,872",2009
Sanilac,"106,324,078","934,425,640","97,315,500","1,138,065,218",2009
Schoolcraft,"1,838,040,000","8,194,421","1,789,768,054","3,636,002,475",2009
Shiawassee,0,"1,040,844,019","48,280,000","1,089,124,019",2009
Tuscola,0,"1,648,172,957","959,793,092","2,607,966,049",2009
Van Buren,"45,609,179,000","11,757,738,030","3,023,984,168","60,390,901,199",2009
Washtenaw,0,"3,598,026,473","5,194,105,284","8,792,131,757",2009
Wayne,"568,736,133,000","688,009,224","48,546,915,463","617,971,057,687",2009
Wexford,0,"1,200,558,390","791,474,000","1,992,032,390",2009
