County,Gallons from Great Lakes,Gallons from Groundwater,Gallons from Inland Surface,Total Gallons All Sources,Year
Van Buren,"42,771,800,000","8,614,341,352","650,602,739","52,036,744,091",2014
Washtenaw,"196,202,773,000","2,849,446,447","439,815,367","199,492,034,814",2014
Wayne,"303,478,413,313","671,360,559","97,212,675,498","401,362,449,370",2014
Wexford,"194,940,000","1,491,818,719",0,"1,686,758,719",2014
Alcona,0,"251,174,730","271,901,370","523,076,100",2013
Alger,"1,604,120,000","280,449,510",0,"1,884,569,510",2013
Allegan,0,"5,432,421,146","3,532,193,627","8,964,614,773",2013
Alpena,"41,561,480,000","14,890,397","1,799,563,500","43,375,933,897",2013
Antrim,0,"3,587,990,464","45,713,163","3,633,703,627",2013
Arenac,"14,163,483,434","163,988,841","222,809,608","14,550,281,883",2013
Baraga,"6,234,671,184",0,"3,484,992","6,238,156,176",2013
Barry,0,"1,642,132,104","373,089,244","2,015,221,348",2013
Bay,"3,066,575,600","64,176,289","201,713,703,753","204,844,455,642",2013
Benzie,0,"697,378,344","2,411,985,120","3,109,363,464",2013
Berrien,"734,779,437,000","7,412,717,063","1,785,215,655","743,977,369,718",2013
Branch,0,"7,318,954,911","3,669,974,154","10,988,929,065",2013
Calhoun,0,"7,529,321,308","1,251,516,623","8,780,837,931",2013
Cass,0,"15,082,762,039","1,396,172,014","16,478,934,053",2013
Charlevoix,"1,106,564,000","5,380,385,608","947,940,427","7,434,890,035",2013
Cheboygan,0,"941,850,128","3,479,428,120","4,421,278,248",2013
Chippewa,"1,086,570,600","435,631,806",0,"1,522,202,406",2013
Clare,0,"529,610,816","459,386,789","988,997,605",2013
Clinton,0,"1,392,803,336","1,023,041,768","2,415,845,104",2013
Crawford,0,"385,470,204","66,173,000","451,643,204",2013
Delta,"17,875,489,433","83,938,126","163,509,366","18,122,936,925",2013
Dickinson,0,"1,000,693,375","7,803,440,000","8,804,133,375",2013
Eaton,0,"1,177,439,011","766,083,778","1,943,522,789",2013
Emmet,"55,400,000","4,943,611,434","481,636,024","5,480,647,458",2013
Genesee,0,"2,553,135,090","107,615,271","2,660,750,361",2013
Gladwin,0,"175,096,924","7,722,430","182,819,354",2013
Gogebic,0,"647,833,800","42,000,000","689,833,800",2013
Grand Traverse,"1,883,420,000","1,319,572,040","47,358,110","3,250,350,150",2013
Gratiot,0,"4,631,781,679","771,068,444","5,402,850,123",2013
Hillsdale,0,"3,270,746,229","856,331,359","4,127,077,588",2013
Houghton,0,"1,126,612,618","9,762,000","1,136,374,618",2013
